speciesCode,comName,sciName,locId,locName,obsDt,howMany,lat,lng,locationPrivate,exoticCategory,region
fragul,Franklin's Gull,Leucophaeus pipixcan,L8017462,"Avenida Del Mar 18–34, Santo Domingo CL-Valparaíso (-33,6271,-71,6320)",2018-10-05 11:00,10.0,-33.627074,-71.631966,True,-1,Valparaíso
gyhsif1,Gray-hooded Sierra Finch,Phrygilus gayi,L7989745,"F-30-E, Quintero, Región de Valparaíso, CL (-32,882, -71,496)",2018-10-05 07:45,1.0,-32.8815938,-71.495653,True,-1,Valparaíso
mallar3,Mallard,Anas platyrhynchos,L861844,Humedal Urbano Cartagena,2018-10-06 22:30,6.0,-33.5350454,-71.6022348,False,1,Valparaíso
scrcow1,Screaming Cowbird,Molothrus rufoaxillaris,L3287262,Los Lingues (O'Higgins),2018-10-06 18:50,5.0,-34.5189623,-70.8795512,False,-1,Libertador General Bernardo O'Higgins
gyhsif1,Gray-hooded Sierra Finch,Phrygilus gayi,L516158,Embalse El Yeso,2018-10-06 18:22,8.0,-33.6474929,-70.0670242,False,-1,Región Metropolitana de Santiago
pershe2,Peruvian Sheartail,Thaumastura cora,L719036,Valle de Azapa--Santuario del Picaflor,2018-10-06 18:15,12.0,-18.5318936,-70.1666683,False,-1,Arica y Parinacota
bwgdov1,Black-winged Ground Dove,Metriopelia melanoptera,L3915064,Cerro San Cristóbal--Jardín Mapulemu,2018-10-06 18:13,1.0,-33.4146263,-70.6198288,False,-1,Región Metropolitana de Santiago
burpar,Burrowing Parakeet,Cyanoliseus patagonus,L2965712,Bramaderos,2018-10-06 17:15,500.0,-29.4194182,-70.8453086,False,-1,Coquimbo
andduc1,Andean Duck,Oxyura ferruginea,L2900685,Hacienda El Tangue,2018-10-06 17:01,4.0,-30.3403211,-71.5658158,False,-1,Coquimbo
pattyr2,Patagonian Tyrant,Colorhamphus parvirostris,L2900685,Hacienda El Tangue,2018-10-06 17:01,2.0,-30.3403211,-71.5658158,False,-1,Coquimbo
jamfla1,James's Flamingo,Phoenicoparrus jamesi,L668852,Río Lluta--Desembocadura,2018-10-06 16:00,1.0,-18.4165392,-70.3224081,False,-1,Arica y Parinacota
tatdot1,Tawny-throated Dotterel,Oreopholus ruficollis,L7970499,PN Volcán Isluga--Enquelga,2018-10-06 16:00,9.0,-19.2306778,-68.8031062,False,-1,Tarapacá
yersis1,Yellow-rumped Siskin,Spinus uropygialis,L4610999,Vega Las Cuevas,2018-10-06 15:11,2.0,-29.4520389,-70.5828077,False,-1,Coquimbo
tufduc,Tufted Duck,Aythya fuligula,L570658,SN Laguna Batuco,2018-10-06 15:00,1.0,-33.2064427,-70.8279133,False,1,Región Metropolitana de Santiago
whthaw1,White-throated Hawk,Buteo albigula,L4861327,Parque San Carlos de Apoquindo--Sendero Alto Las Vizcachas,2018-10-06 14:00,10.0,-33.4229271,-70.4877341,False,-1,Región Metropolitana de Santiago
shbcan2,Sharp-billed Canastero,Asthenes pyrrholeuca,L8007666,"Qda. Calavario - 29°26'40.84""S - 70°30'7.76""O",2018-10-06 13:09,1.0,-29.4446893,-70.5021654,True,-1,Coquimbo
gryfin3,Greenish Yellow-Finch,Sicalis olivascens,L6692065,Quebrada El Calvario--Vega La Piedra,2018-10-06 12:02,1.0,-29.4021263,-70.4748943,False,-1,Coquimbo
banswa,Bank Swallow,Riparia riparia,L1062972,Parque Andino Juncal,2018-10-06 11:48,1.0,-32.915954,-70.0926232,False,-1,Valparaíso
rwbtyr1,Rufous-webbed Bush-Tyrant,Cnemarchus rufipennis,L604963,MN Salar de Surire,2018-10-06 11:36,2.0,-18.7988649,-69.0871811,False,-1,Arica y Parinacota
perter2,Peruvian Tern,Sternula lorata,L1630624,Mejillones,2018-10-06 09:55,1.0,-23.1023178,-70.4534335,True,-1,Antofagasta
ausrai1,Austral Rail,Rallus antarcticus,L1030742,PN Torres del Paine--Laguna Los Juncos,2018-10-06 09:39,3.0,-51.0273604,-72.7756906,False,-1,Magallanes
wvspet1,Elliot's Storm-Petrel,Oceanites gracilis,L3028519,Emisario de La Serena,2018-10-06 08:30,1.0,-29.8954245,-71.2997675,False,-1,Coquimbo
whcalb1,White-capped Albatross,Thalassarche cauta,L570174,Quintero--Pelágico,2018-10-06 07:45,1.0,-32.7693779,-71.5838242,False,-1,Valparaíso
shyalb2,Chatham Albatross,Thalassarche eremita,L570174,Quintero--Pelágico,2018-10-06 07:45,1.0,-32.7693779,-71.5838242,False,-1,Valparaíso
whcpet1,White-chinned Petrel,Procellaria aequinoctialis,L570174,Quintero--Pelágico,2018-10-06 07:45,100.0,-32.7693779,-71.5838242,False,-1,Valparaíso
